ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,Queens Club,Queen's Club Championships,2022-06-17,ATP500,Outdoor,Grass,Quarterfinals,3.0,Van De Zandschulp B.,Davidovich Fokina A.,29.0,44.0,1364.0,1050.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.68,2.34,1.73,2.4,1.64,2.26
35,Halle,Halle Open,2022-06-17,ATP500,Outdoor,Grass,Quarterfinals,3.0,Otte O.,Khachanov K.,51.0,23.0,1000.0,1710.0,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.3,1.61,2.43,1.63,2.43,1.71,2.23,1.65
36,Queens Club,Queen's Club Championships,2022-06-17,ATP500,Outdoor,Grass,Quarterfinals,3.0,Cilic M.,Ruusuvuori E.,17.0,56.0,2130.0,945.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.42,3.13,1.43,3.21,1.39,2.98
36,Queens Club,Queen's Club Championships,2022-06-18,ATP500,Outdoor,Grass,Semifinals,3.0,Krajinovic F.,Cilic M.,48.0,17.0,1010.0,2130.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,4.5,1.2,4.75,1.23,4.9,1.25,4.42,1.21
36,Queens Club,Queen's Club Championships,2022-06-18,ATP500,Outdoor,Grass,Semifinals,3.0,Berrettini M.,Van De Zandschulp B.,10.0,29.0,3570.0,1364.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.75,1.32,3.73,1.35,3.82,1.3,3.52
35,Halle,Halle Open,2022-06-18,ATP500,Outdoor,Grass,Semifinals,3.0,Hurkacz H.,Kyrgios N.,12.0,65.0,3258.0,893.0,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.37,1.57,2.49,1.61,2.59,1.63,2.4,1.57
35,Halle,Halle Open,2022-06-18,ATP500,Outdoor,Grass,Semifinals,3.0,Medvedev D.,Otte O.,1.0,51.0,7950.0,1000.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.16,6.27,1.17,6.36,1.14,5.71
38,Mallorca,Mallorca Championships,2022-06-19,ATP250,Outdoor,Grass,1st Round,3.0,Mcdonald M.,Sousa J.,52.0,59.0,961.0,918.0,4.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,1.5,2.62,1.47,2.89,1.52,3.0,1.46,2.69
38,Mallorca,Mallorca Championships,2022-06-19,ATP250,Outdoor,Grass,1st Round,3.0,Karatsev A.,Munar J.,43.0,72.0,1056.0,780.0,3.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,1.8,2.0,2.0,1.89,2.0,2.1,1.86,1.92
36,Queens Club,Queen's Club Championships,2022-06-19,ATP500,Outdoor,Grass,The Final,3.0,Berrettini M.,Krajinovic F.,10.0,48.0,3570.0,1010.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.19,5.33,1.2,5.76,1.17,4.95
35,Halle,Halle Open,2022-06-19,ATP500,Outdoor,Grass,The Final,3.0,Hurkacz H.,Medvedev D.,12.0,1.0,3258.0,7950.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.0,1.4,2.69,1.53,3.0,1.53,2.78,1.44
38,Mallorca,Mallorca Championships,2022-06-19,ATP250,Outdoor,Grass,1st Round,3.0,Molcan A.,Kecmanovic M.,50.0,30.0,1002.0,1361.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.97,1.44,2.97,1.52,2.73,1.44
38,Mallorca,Mallorca Championships,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Bellier A.,Delbonis F.,303.0,85.0,159.0,679.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.37,1.62,2.43,1.68,2.63,1.6,2.32
38,Mallorca,Mallorca Championships,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Griekspoor T.,Lopez F.,53.0,214.0,959.0,267.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.3,3.82,1.32,3.92,1.29,3.56
38,Mallorca,Mallorca Championships,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Bautista Agut R.,Daniel T.,20.0,123.0,1903.0,492.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.16,5.92,1.22,6.1,1.17,4.93
38,Mallorca,Mallorca Championships,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Bonzi B.,Tabilo A.,56.0,80.0,946.0,738.0,6.0,3.0,4.0,2.0,,,,,,,1.0,0.0,Retired,1.4,3.0,1.41,3.13,1.44,3.46,1.37,3.04
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Cressy M.,Opelka R.,60.0,18.0,913.0,2100.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.08,1.83,2.13,1.86,2.05,1.76
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Draper J.,Brooksby J.,108.0,34.0,537.0,1187.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.89,2.0,1.92,2.05,1.83,1.96
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Bublik A.,Tiafoe F.,39.0,28.0,1105.0,1439.0,5.0,7.0,7.0,6.0,6.0,0.0,,,,,2.0,1.0,Completed,1.9,1.9,1.88,2.02,1.92,2.02,1.84,1.94
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Nakashima B.,Clarke J.,54.0,159.0,957.0,361.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.11,7.57,1.16,8.0,1.1,6.66
38,Mallorca,Mallorca Championships,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Ivashka I.,Ruusuvuori E.,40.0,48.0,1082.0,1015.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.37,1.63,2.41,1.65,2.63,1.59,2.32
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,De Minaur A.,Garin C.,24.0,44.0,1633.0,1055.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.21,4.88,1.21,6.0,1.19,4.62
37,Eastbourne,Eastbourne International,2022-06-20,ATP250,Outdoor,Grass,1st Round,3.0,Millman J.,Korda S.,86.0,46.0,664.0,1028.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.75,1.28,3.78,1.31,4.0,1.31,3.68,1.27
38,Mallorca,Mallorca Championships,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Baez S.,Thompson J.,36.0,68.0,1168.0,818.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.75,1.28,4.11,1.27,4.2,1.33,3.74,1.26
38,Mallorca,Mallorca Championships,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Giron M.,Van De Zandschulp B.,67.0,26.0,830.0,1518.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.75,1.44,2.88,1.47,3.02,1.48,2.76,1.44
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Peniston R.,Rune H.,147.0,29.0,401.0,1429.0,4.0,6.0,7.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,2.5,1.53,2.62,1.54,2.7,1.59,2.5,1.52
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Evans D.,Mannarino A.,33.0,73.0,1201.0,778.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.5,2.62,1.52,2.7,1.53,2.89,1.49,2.6
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Martinez P.,Davidovich Fokina A.,49.0,38.0,1010.0,1130.0,1.0,6.0,7.0,6.0,,,,,,,1.0,1.0,Retired,4.0,1.25,4.74,1.22,4.74,1.28,3.87,1.25
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Paul T.,Cerundolo F.,35.0,42.0,1183.0,1070.0,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.28,3.75,1.31,3.72,1.31,3.8,1.29,3.56
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Monteiro T.,Humbert U.,94.0,103.0,622.0,551.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.75,1.28,4.18,1.27,4.18,1.3,3.81,1.26
37,Eastbourne,Eastbourne International,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Sonego L.,Duckworth J.,32.0,77.0,1215.0,766.0,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.33,3.4,1.32,3.67,1.37,3.92,1.31,3.37
38,Mallorca,Mallorca Championships,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Kyrgios N.,Djere L.,45.0,55.0,1050.0,946.0,5.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.1,7.0,1.12,7.2,1.13,7.3,1.11,6.48
38,Mallorca,Mallorca Championships,2022-06-21,ATP250,Outdoor,Grass,1st Round,3.0,Altmaier D.,Lajovic D.,64.0,63.0,868.0,883.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.62,2.43,1.62,2.6,1.56,2.41
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Bellier A.,Carreno Busta P.,303.0,19.0,159.0,2045.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,5.0,1.16,5.11,1.21,5.45,1.22,4.7,1.18
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Giron M.,Mcdonald M.,67.0,52.0,830.0,961.0,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.3,1.61,2.2,1.75,2.33,1.75,2.16,1.68
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Tsitsipas S.,Ivashka I.,6.0,40.0,4945.0,1082.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.62,1.6,2.5,1.61,2.76,1.54,2.47
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Altmaier D.,Baez S.,64.0,36.0,868.0,1168.0,6.0,2.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.66,2.49,1.61,2.5,1.75,2.31,1.6
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Bonzi B.,Shapovalov D.,56.0,16.0,946.0,2293.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.3,1.61,2.38,1.65,2.45,1.73,2.28,1.62
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Medvedev D.,Karatsev A.,1.0,43.0,8160.0,1056.0,4.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.12,6.0,1.17,5.91,1.21,6.5,1.14,5.6
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Bautista Agut R.,Kyrgios N.,20.0,45.0,1903.0,1050.0,,,,,,,,,,,,,Walkover,2.3,1.61,2.13,1.8,2.3,1.8,2.14,1.7
38,Mallorca,Mallorca Championships,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Griekspoor T.,Molcan A.,53.0,50.0,959.0,1002.0,0.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.61,2.3,1.74,2.22,1.75,2.42,1.65,2.22
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Fritz T.,Monteiro T.,14.0,94.0,2920.0,622.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.75,1.35,3.52,1.36,3.8,1.3,3.45
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Norrie C.,Nakashima B.,12.0,54.0,3200.0,957.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.64,2.41,1.69,2.52,1.62,2.28
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Draper J.,Schwartzman D.,108.0,15.0,537.0,2325.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.45,2.97,1.54,3.02,1.44,2.74
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Bublik A.,Millman J.,39.0,86.0,1105.0,664.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.51,2.75,1.57,2.79,1.48,2.62
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Paul T.,Sinner J.,35.0,13.0,1183.0,3185.0,6.0,3.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.61,2.24,1.73,2.34,1.73,2.2,1.66
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,Cressy M.,Evans D.,60.0,33.0,913.0,1201.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.53,1.59,2.53,1.7,2.37,1.57
37,Eastbourne,Eastbourne International,2022-06-22,ATP250,Outdoor,Grass,2nd Round,3.0,De Minaur A.,Sonego L.,24.0,32.0,1633.0,1215.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.45,3.0,1.47,3.0,1.43,2.8
38,Mallorca,Mallorca Championships,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Bautista Agut R.,Medvedev D.,20.0,1.0,1903.0,8160.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3.4,1.33,3.44,1.36,3.6,1.37,3.29,1.33
37,Eastbourne,Eastbourne International,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,De Minaur A.,Paul T.,24.0,35.0,1633.0,1183.0,6.0,2.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.4,3.0,1.41,3.18,1.43,3.36,1.37,3.04
37,Eastbourne,Eastbourne International,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Draper J.,Peniston R.,108.0,147.0,537.0,401.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.39,3.22,1.47,3.22,1.41,2.85
37,Eastbourne,Eastbourne International,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Fritz T.,Bublik A.,14.0,39.0,2920.0,1105.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.13,1.8,2.24,1.86,2.06,1.76
37,Eastbourne,Eastbourne International,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Cressy M.,Norrie C.,60.0,12.0,913.0,3200.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.75,1.49,2.97,1.53,2.69,1.46
37,Eastbourne,Eastbourne International,2022-06-23,ATP250,Outdoor,Grass,2nd Round,3.0,Peniston R.,Martinez P.,147.0,49.0,401.0,1010.0,7.0,6.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.4,3.0,1.42,3.11,1.47,3.11,1.41,2.86
38,Mallorca,Mallorca Championships,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Bellier A.,Griekspoor T.,303.0,53.0,159.0,959.0,5.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,3.4,1.33,3.43,1.36,4.0,1.36,3.4,1.31
38,Mallorca,Mallorca Championships,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Bonzi B.,Altmaier D.,56.0,64.0,946.0,868.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.32,3.74,1.35,3.76,1.3,3.5
38,Mallorca,Mallorca Championships,2022-06-23,ATP250,Outdoor,Grass,Quarterfinals,3.0,Tsitsipas S.,Giron M.,6.0,67.0,4945.0,830.0,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.22,4.33,1.21,5.05,1.26,5.54,1.2,4.51
38,Mallorca,Mallorca Championships,2022-06-24,ATP250,Outdoor,Grass,Semifinals,3.0,Bautista Agut R.,Bellier A.,20.0,303.0,1903.0,159.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.17,5.98,1.18,6.5,1.14,5.66
38,Mallorca,Mallorca Championships,2022-06-24,ATP250,Outdoor,Grass,Semifinals,3.0,Tsitsipas S.,Bonzi B.,6.0,56.0,4945.0,946.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.53,2.7,1.54,2.92,1.48,2.67
37,Eastbourne,Eastbourne International,2022-06-24,ATP250,Outdoor,Grass,Semifinals,3.0,Fritz T.,De Minaur A.,14.0,24.0,2920.0,1633.0,6.0,1.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.1,1.72,2.17,1.78,2.31,1.78,2.13,1.71
37,Eastbourne,Eastbourne International,2022-06-24,ATP250,Outdoor,Grass,Semifinals,3.0,Cressy M.,Draper J.,60.0,108.0,913.0,537.0,7.0,6.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.66,2.2,1.76,2.19,1.8,2.25,1.7,2.14
37,Eastbourne,Eastbourne International,2022-06-25,ATP250,Outdoor,Grass,The Final,3.0,Fritz T.,Cressy M.,14.0,60.0,2920.0,913.0,6.0,2.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.53,2.5,1.64,2.42,1.64,2.64,1.56,2.43
38,Mallorca,Mallorca Championships,2022-06-25,ATP250,Outdoor,Grass,The Final,3.0,Tsitsipas S.,Bautista Agut R.,6.0,20.0,4945.0,1903.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.66,2.2,1.74,2.22,1.76,2.32,1.68,2.18
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Otte O.,Gojowczyk P.,36.0,92.0,1155.0,630.0,6.0,1.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.14,5.5,1.16,6.3,1.16,7.0,1.13,5.87
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Bublik A.,Fucsovics M.,38.0,59.0,1105.0,922.0,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.37,1.56,2.61,1.6,2.66,1.53,2.5
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Murray A.,Duckworth J.,52.0,74.0,995.0,766.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,1.16,5.0,1.16,6.22,1.18,6.7,1.16,5.37
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Griekspoor T.,Fognini F.,53.0,63.0,984.0,896.0,5.0,7.0,7.0,5.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.36,3.2,1.36,3.47,1.38,3.5,1.34,3.26
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Lajovic D.,Carreno Busta P.,64.0,20.0,883.0,1930.0,3.0,6.0,6.0,4.0,,,,,,,1.0,1.0,Retired,3.4,1.33,4.0,1.29,4.13,1.33,3.71,1.28
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Kecmanovic M.,Millman J.,30.0,85.0,1306.0,676.0,6.0,3.0,2.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.44,2.75,1.42,3.11,1.46,3.13,1.4,2.93
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Sinner J.,Wawrinka S.,13.0,267.0,3185.0,191.0,7.0,5.0,4.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.33,3.4,1.33,3.65,1.35,3.65,1.31,3.43
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Van Rijthoven T.,Delbonis F.,104.0,84.0,546.0,679.0,7.0,6.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.12,6.0,1.13,7.13,1.14,7.75,1.11,6.61
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Vesely J.,Coria F.,68.0,67.0,829.0,840.0,6.0,3.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.05,11.0,1.09,9.72,1.09,12.72,1.07,8.88
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Tabilo A.,Djere L.,78.0,57.0,746.0,946.0,7.0,6.0,6.0,2.0,1.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed,2.62,1.5,2.68,1.53,3.0,1.53,2.72,1.47
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Alcaraz C.,Struff J.L.,7.0,155.0,4890.0,363.0,4.0,6.0,7.0,5.0,4.0,6.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,1.25,4.0,1.26,4.32,1.28,4.45,1.25,3.99
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Kokkinakis T.,Majchrzak K.,79.0,91.0,728.0,635.0,7.0,6.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,2.1,1.72,2.17,1.78,2.17,1.83,2.09,1.75
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Isner J.,Couacaud E.,24.0,206.0,1616.0,276.0,6.0,7.0,7.0,6.0,4.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,1.16,5.0,1.24,4.64,1.24,5.0,1.21,4.41
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Djokovic N.,Kwon S.W.,3.0,81.0,6770.0,698.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.005,34.0,1.01,31.88,1.01,34.22,1.01,22.46
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Tiafoe F.,Vavassori A.,28.0,256.0,1439.0,205.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.11,6.5,1.12,7.64,1.14,8.2,1.1,7.0
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Basilashvili N.,Rosol L.,26.0,280.0,1473.0,181.0,6.0,7.0,7.0,6.0,3.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.3,3.5,1.33,3.69,1.35,3.75,1.3,3.51
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Humbert U.,Etcheverry T.,112.0,77.0,521.0,750.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.11,6.5,1.16,6.17,1.16,6.65,1.13,5.95
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Ruud C.,Ramos-Vinolas A.,6.0,39.0,5050.0,1080.0,7.0,6.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1.2,4.5,1.19,5.39,1.27,6.1,1.19,4.78
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Marterer M.,Bedene A.,172.0,200.0,319.0,283.0,4.0,6.0,7.0,5.0,6.0,4.0,7.0,5.0,,,3.0,1.0,Completed,2.1,1.72,2.04,1.87,2.13,1.93,2.02,1.8
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Halys Q.,Paire B.,82.0,73.0,687.0,771.0,4.0,6.0,6.0,1.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,1.36,3.2,1.37,3.41,1.41,3.65,1.34,3.25
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Munar J.,Monteiro T.,71.0,89.0,780.0,643.0,6.0,2.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,Completed,2.3,1.61,2.33,1.68,2.4,1.68,2.28,1.63
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Davidovich Fokina A.,Hurkacz H.,37.0,10.0,1120.0,3735.0,7.0,6.0,6.0,4.0,5.0,7.0,2.0,6.0,7.0,6.0,3.0,2.0,Completed,5.5,1.14,7.06,1.13,7.66,1.18,6.28,1.12
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Mannarino A.,Purcell M.,86.0,209.0,665.0,272.0,6.0,3.0,7.0,6.0,4.0,6.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,1.28,3.75,1.32,3.75,1.32,3.9,1.3,3.58
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Paul T.,Verdasco F.,32.0,115.0,1208.0,517.0,6.0,1.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.14,5.5,1.22,4.86,1.22,5.75,1.19,4.82
39,London,Wimbledon,2022-06-27,Grand Slam,Outdoor,Grass,1st Round,5.0,Norrie C.,Andujar P.,12.0,100.0,3200.0,576.0,6.0,0.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.02,17.0,1.02,20.54,1.05,24.0,1.02,15.57
39,London,Wimbledon,2022-06-28,Grand Slam,Outdoor,Grass,1st Round,5.0,Ruusuvuori E.,Nishioka Y.,49.0,101.0,1015.0,574.0,6.0,2.0,6.0,2.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.14,5.5,1.15,6.37,1.16,6.5,1.14,5.75
39,London,Wimbledon,2022-06-28,Grand Slam,Outdoor,Grass,1st Round,5.0,Krajinovic F.,Lehecka J.,31.0,72.0,1300.0,776.0,5.0,7.0,6.0,4.0,6.0,7.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,1.36,3.2,1.38,3.34,1.39,3.75,1.34,3.25
39,London,Wimbledon,2022-06-28,Grand Slam,Outdoor,Grass,1st Round,5.0,Draper J.,Bergs Z.,94.0,146.0,627.0,403.0,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.33,3.4,1.35,3.52,1.37,3.84,1.33,3.34
